show_id,title,country,release year,locations
80220813,Ant-Man and the Wasp,United States,2018,Telegraph Hill/North Beach
80220813,Ant-Man and the Wasp,United States,2018,Financial District
80220813,Ant-Man and the Wasp,United States,2018,Russian Hill
80220813,Ant-Man and the Wasp,United States,2018,Jones St btwn Sacramento and Pine
80220813,Ant-Man and the Wasp,United States,2018,California St btwn Mason and Leavenworth
80220813,Ant-Man and the Wasp,United States,2018,Montgomery btwn Green and Pacific
80220813,Ant-Man and the Wasp,United States,2018,Bush St at Mason St
80220813,Ant-Man and the Wasp,United States,2018,Lombard St btwn Polk and Leavenworth
80220813,Ant-Man and the Wasp,United States,2018,Jones St btwn Green and Pacific
80220813,Ant-Man and the Wasp,United States,2018,Vallejo St btwn Montgomery and Davis
80220813,Ant-Man and the Wasp,United States,2018,Java St
80220813,Ant-Man and the Wasp,United States,2018,Little Embarcadero btwn Powell and Mason
80220813,Ant-Man and the Wasp,United States,2018,Powell St btwn North Point and Embarcadero
80220813,Ant-Man and the Wasp,United States,2018,Pier 27
80220813,Ant-Man and the Wasp,United States,2018,Jefferson St at Taylor St
80220813,Ant-Man and the Wasp,United States,2018,Laguna St btwn Jackson and Broadway
80220813,Ant-Man and the Wasp,United States,2018,Montgomery btwn Broadway and Pacific
80220813,Ant-Man and the Wasp,United States,2018,Geary St - Hyde St - Ellis St
80220813,Ant-Man and the Wasp,United States,2018,Saint Louis Alley at Jackson
80220813,Ant-Man and the Wasp,United States,2018,Leavenworth St at Lombard St
80220813,Ant-Man and the Wasp,United States,2018,"Westar Marine Services, Pier 50"
70244163,The Master,United States,2012,Pier 7/ Embarcadero
70244163,The Master,United States,2012,Pier 7/ Embarcadero
60010487,Indiana Jones and the Last Crusade,United States,1989,Administration Building (Treasure Island)
60010487,Indiana Jones and the Last Crusade,United States,1989,Administration Building (Treasure Island)
60031284,Mona Lisa Smile,United States,2003,
60031284,Mona Lisa Smile,United States,2003,
70100084,Milk,United States,2008,Duboce Park
70100084,Milk,United States,2008,City Hall
70100084,Milk,United States,2008,Chinatown
70100084,Milk,United States,2008,424 Sansome Street
70100084,Milk,United States,2008,29th and Dolores Street
70100084,Milk,United States,2008,El Camino Del Mar
70100084,Milk,United States,2008,Treasure Island
70100084,Milk,United States,2008,Market & Castro Street
70100084,Milk,United States,2008,Marine Fireman's Union Headquarters
70100084,Milk,United States,2008,Lower Haight Street
70100084,Milk,United States,2008,Grace Cathedral Episcopal Church (1100 California Street)
70100084,Milk,United States,2008,Golden Gate Bridge
70100084,Milk,United States,2008,Duboce Park
70100084,Milk,United States,2008,City Hall
70100084,Milk,United States,2008,Chinatown
70100084,Milk,United States,2008,424 Sansome Street
70100084,Milk,United States,2008,29th and Dolores Street
70100084,Milk,United States,2008,El Camino Del Mar
70100084,Milk,United States,2008,Treasure Island
70100084,Milk,United States,2008,Market & Castro Street
70100084,Milk,United States,2008,Marine Fireman's Union Headquarters
70100084,Milk,United States,2008,Lower Haight Street
70100084,Milk,United States,2008,Grace Cathedral Episcopal Church (1100 California Street)
70100084,Milk,United States,2008,Golden Gate Bridge
80078197,Fearless,United States,1993,400 Montgomery Street
80078197,Fearless,United States,1993,Folsom Street & Embarcadero
80078197,Fearless,United States,1993,Varennes Alley between Filbert and Union
80078197,Fearless,United States,1993,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)"
80078197,Fearless,United States,1993,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)"
80078197,Fearless,United States,1993,Kohl Building (400 Montgomery Street)
80078197,Fearless,United States,1993,Bank of America Building (555 California Street)
80078197,Fearless,United States,1993,90 Gold Street
80078197,Fearless,United States,1993,5th and Beale Streets
80078197,Fearless,United States,1993,400 Montgomery Street
80078197,Fearless,United States,1993,Folsom Street & Embarcadero
80078197,Fearless,United States,1993,Varennes Alley between Filbert and Union
80078197,Fearless,United States,1993,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)"
80078197,Fearless,United States,1993,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)"
80078197,Fearless,United States,1993,Kohl Building (400 Montgomery Street)
80078197,Fearless,United States,1993,Bank of America Building (555 California Street)
80078197,Fearless,United States,1993,90 Gold Street
80078197,Fearless,United States,1993,5th and Beale Streets
70143842,Parks and Recreation,United States,2014,Filbert from Hyde to Leavenworth
70143842,Parks and Recreation,United States,2014,Columbus and Green
70143842,Parks and Recreation,United States,2014,Larkin & Fulton
70143842,Parks and Recreation,United States,2014,Embarcadero & Market
70143842,Parks and Recreation,United States,2014,Filbert from Hyde to Leavenworth
70143842,Parks and Recreation,United States,2014,Columbus and Green
70143842,Parks and Recreation,United States,2014,Larkin & Fulton
70143842,Parks and Recreation,United States,2014,Embarcadero & Market
80025744,Sense8,United States,2015,18th Street between Guerrero and Valencia Streets
80025744,Sense8,United States,2015,"Atlas Café, 3049 20th St."
